"ID","Sem1","Sem2","Sem3","Sem4","Sem5","Sem6","Label"
"B34","3.05","2.83","3.00","3.58","3.17","3.25","0"
"B35","2.76","3.00","3.67","3.59","3.00","3.00","0"
"B36","3.76","3.26","3.67","3.59","3.83","3.74","1"
"B37","3.29","3.19","3.14","3.60","3.22","3.62","1"
"B38","3.29","3.09","3.33","3.61","3.24","3.27","1"
"B39","3.62","3.52","3.52","3.61","3.57","3.73","1"
"B40","3.71","3.39","3.48","3.61","3.86","3.55","1"
"B41","3.24","2.74","3.52","3.62","3.44","3.64","1"
"B42","3.24","2.70","3.38","3.62","3.57","3.73","1"
"B43","3.71","2.96","3.76","3.64","3.52","3.52","0"
"B44","3.29","3.09","3.71","3.64","3.57","4.00","1"
"B45","3.43","3.26","3.57","3.64","3.71","3.74","1"
"B46","3.43","2.79","3.52","3.65","2.96","3.15","1"
"B47","3.29","3.62","3.62","3.65","3.26","3.35","0"
"B48","3.05","2.87","3.43","3.71","3.33","3.15","1"
"B49","3.57","4.00","3.67","3.74","3.70","4.00","1"
"B50","3.67","3.29","4.00","3.75","4.00","3.87","1"
"B51","3.52","3.35","3.62","3.77","3.50","4.00","1"
"B52","3.57","2.76","3.62","3.79","3.86","3.48","1"
"B53","3.81","3.61","3.62","3.82","3.45","3.61","1"
"B54","3.24","3.33","3.38","3.85","3.83","4.00","1"
"B55","2.76","3.57","3.71","3.86","3.39","3.57","1"
"B56","4.00","3.74","3.62","3.86","3.71","3.35","1"
"B57","3.62","3.09","3.52","3.87","3.11","3.64","1"
"B58","3.38","2.78","3.90","3.87","3.88","3.87","1"
